"","tissue","group..","total.mRNA.mol","well","sex","age","diameter","cell_id","level1class","level2class","sizeFactor"
"1772066102_E02","ca1hippocampus",3,1358,5,3,4,1,"1772066102_E02","pyramidal CA1","CA1Pyr2",1.73737209805455
"1772067073_F10","sscortex",2,713,76,3,9,26,"1772067073_F10","pyramidal SS","S1PyrL23",1.07956334055628
"1772062116_C06","sscortex",4,2628,38,3,3,16,"1772062116_C06","oligodendrocytes","Oligo6",0.649316156888098
"1772063068_C12","sscortex",2,587,91,3,7,41,"1772063068_C12","pyramidal SS","S1PyrL5a",1.03522795311891
"1772062113_D11","sscortex",6,931,83,1,7,371,"1772062113_D11","endothelial-mural","Vend2",1.29642557503497
"1772066089_C07","ca1hippocampus",3,1586,47,1,5,52,"1772066089_C07","pyramidal CA1","CA1Pyr1",2.1502328552767
"1772066089_B03","ca1hippocampus",3,1292,10,1,5,261,"1772066089_B03","pyramidal CA1","CA1Pyr2",1.68815513703811
"1772066100_D12","ca1hippocampus",2,490,92,3,5,16,"1772066100_D12","pyramidal CA1","SubPyr",0.933851712764396
"1772066102_E04","ca1hippocampus",3,1566,22,3,4,20,"1772066102_E04","pyramidal CA1","CA2Pyr2",2.14595311953614
"1772066077_A01","ca1hippocampus",3,1070,1,1,4,25,"1772066077_A01","pyramidal CA1","CA1Pyr2",1.35861548501498
"1772063071_B12","sscortex",6,1525,90,1,2,14,"1772063071_B12","endothelial-mural","Vend2",0.411590210674175
"1772067076_A09","ca1hippocampus",3,773,62,2,7,19,"1772067076_A09","pyramidal CA1","SubPyr",1.12677417544433
"1772063062_F03","sscortex",4,440,15,3,1,1,"1772063062_F03","oligodendrocytes","Oligo5",0.989354535649785
"1772063063_C08","sscortex",4,2331,55,1,2,29,"1772063063_C08","oligodendrocytes","Oligo2",0.502868949515808
"1772071036_C02","ca1hippocampus",1,2082,3,3,9,31,"1772071036_C02","interneurons","Int5",3.64880907318219
"1772066098_B11","ca1hippocampus",4,2648,81,1,7,25,"1772066098_B11","oligodendrocytes","Oligo1",0.602840901580454
"1772066073_C01","ca1hippocampus",2,822,23,1,7,396,"1772066073_C01","pyramidal CA1","SubPyr",1.15278694424242
"1772066073_A10","ca1hippocampus",3,997,71,1,7,9,"1772066073_A10","pyramidal CA1","CA1Pyr2",1.30224334080729
"1772058148_E12","sscortex",5,2340,93,3,7,14,"1772058148_E12","microglia","Mgl2",0.479531015555567
"1772063061_A09","sscortex",4,537,62,1,10,319,"1772063061_A09","oligodendrocytes","Oligo4",1.01416362877084
"1772066101_D08","ca1hippocampus",3,388,57,3,5,370,"1772066101_D08","pyramidal CA1","CA1Pyr2",0.893996673680431
"1772066077_H12","ca1hippocampus",1,410,96,1,4,33,"1772066077_H12","interneurons","Int15",0.925492853896115
"1772067063_D03","sscortex",4,720,13,1,5,10,"1772067063_D03","oligodendrocytes","Oligo1",1.08411055978062
"1772067073_C02","sscortex",4,2683,3,3,9,15,"1772067073_C02","oligodendrocytes","Oligo6",0.694654607389656
"1772060225_F06","sscortex",4,59,41,1,9,18,"1772060225_F06","oligodendrocytes","Oligo4",0.794894042938087
"1772066102_D12","ca1hippocampus",4,858,92,3,4,15,"1772066102_D12","oligodendrocytes","Oligo6",1.22815041579885
"1772067070_B11","sscortex",2,815,81,3,7,9,"1772067070_B11","pyramidal SS","S1PyrL6",1.09427493216445
"1772066095_B11","ca1hippocampus",3,2711,81,1,8,1,"1772066095_B11","pyramidal CA1","CA1Pyr2",0.628318703410975
"1772066096_G11","ca1hippocampus",4,70,86,1,8,6,"1772066096_G11","oligodendrocytes","Oligo2",0.730497394216847
"1772066101_E11","ca1hippocampus",3,860,84,3,5,115,"1772066101_E11","pyramidal CA1","CA1Pyr2",1.11761286612469
