"","1772066102_E02","1772067073_F10","1772062116_C06","1772063068_C12","1772062113_D11","1772066089_C07","1772066089_B03","1772066100_D12","1772066102_E04","1772066077_A01","1772063071_B12","1772067076_A09","1772063062_F03","1772063063_C08","1772071036_C02","1772066098_B11","1772066073_C01","1772066073_A10","1772058148_E12","1772063061_A09","1772066101_D08","1772066077_H12","1772067063_D03","1772067073_C02","1772060225_F06","1772066102_D12","1772067070_B11","1772066095_B11","1772066096_G11","1772066101_E11"
"Olfr1219",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Angpt1",0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tprkb",1,0,0,0,1,0,3,0,4,3,0,2,1,0,3,0,1,1,0,0,0,1,1,3,3,0,1,1,3,1
"Dennd5b",3,1,0,0,7,2,0,1,2,1,0,1,1,1,4,0,0,1,0,0,1,1,0,0,0,5,0,0,0,3
"Ccdc30",0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wsb1",0,5,0,0,0,4,0,1,1,1,0,0,1,0,1,0,4,1,4,0,1,1,1,0,0,1,0,1,2,2
"Gm5918",1,0,0,1,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"A630072M18Rik",0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tmprss11e",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chic2",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"Tceal5",6,5,0,8,3,5,5,4,11,2,0,5,0,0,6,0,4,3,1,0,4,10,0,0,0,2,3,1,0,4
"Snord73a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Exoc1",1,0,0,1,0,3,0,0,2,2,0,2,0,0,1,0,2,0,0,0,0,0,1,0,0,1,0,0,0,2
"Mkl2",4,6,0,1,2,5,5,3,2,2,0,2,0,0,2,0,2,1,0,0,1,0,0,0,0,1,0,3,0,2
"1700097N02Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bai3",2,3,0,0,0,10,4,1,1,2,0,5,0,0,8,0,0,1,0,0,4,3,0,0,0,3,7,6,0,1
"Pacsin1",5,1,0,3,5,6,1,0,5,3,0,1,0,0,12,0,5,3,0,0,1,4,0,0,0,2,0,0,0,0
"Ascc1",1,1,0,0,0,1,0,0,3,1,0,0,3,0,4,2,0,1,1,2,0,0,0,0,0,0,3,0,0,0
"Tuba1a",82,36,20,35,22,29,48,27,90,36,10,35,19,12,130,22,66,88,39,4,17,38,116,19,18,55,32,19,54,29
"Rpl7a",2,0,1,0,3,0,0,3,1,0,1,1,1,1,3,1,2,0,1,0,2,3,1,0,0,0,1,0,0,1
"Ttc32",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ifngr2",1,0,0,0,0,4,4,3,2,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1
"Tgm2",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
