"","featureType","Ensembl"
"Olfr1219","endogenous","ENSMUSG00000075104"
"Angpt1","endogenous","ENSMUSG00000022309"
"Tprkb","endogenous","ENSMUSG00000054226"
"Dennd5b","endogenous","ENSMUSG00000030313"
"Ccdc30","endogenous","ENSMUSG00000028637"
"Wsb1","endogenous","ENSMUSG00000017677"
"Gm5918","endogenous",NA
"A630072M18Rik","endogenous","ENSMUSG00000101013"
"Tmprss11e","endogenous","ENSMUSG00000054537"
"Chic2","endogenous","ENSMUSG00000029229"
"Tceal5","endogenous","ENSMUSG00000054034"
"Snord73a","endogenous","ENSMUSG00000064984"
"Exoc1","endogenous","ENSMUSG00000036435"
"Mkl2","endogenous",NA
"1700097N02Rik","endogenous","ENSMUSG00000099474"
"Bai3","endogenous",NA
"Pacsin1","endogenous","ENSMUSG00000040276"
"Ascc1","endogenous","ENSMUSG00000044475"
"Tuba1a","endogenous","ENSMUSG00000072235"
"Rpl7a","endogenous","ENSMUSG00000062647"
"Ttc32","endogenous","ENSMUSG00000066637"
"Ifngr2","endogenous","ENSMUSG00000022965"
"Tgm2","endogenous","ENSMUSG00000037820"
"Ccdc74a","endogenous","ENSMUSG00000041617"
"Rpl14","endogenous","ENSMUSG00000025794"
"7630403G23Rik","endogenous","ENSMUSG00000098758"
"A030009H04Rik","endogenous",NA
"St13","endogenous","ENSMUSG00000022403"
"Gpr124","endogenous",NA
"Zscan12","endogenous","ENSMUSG00000036721"
"Lrdd","endogenous",NA
"Hs3st2","endogenous","ENSMUSG00000046321"
"Ssr3","endogenous","ENSMUSG00000027828"
"Nolc1","endogenous","ENSMUSG00000015176"
"Efcab2","endogenous","ENSMUSG00000026495"
"1700012B09Rik","endogenous","ENSMUSG00000031927"
"Nat3","endogenous","ENSMUSG00000056426"
"Rbm6","endogenous","ENSMUSG00000032582"
"Lpin3","endogenous","ENSMUSG00000027412"
"Mir503","endogenous","ENSMUSG00000076122"
"Pygl","endogenous","ENSMUSG00000021069"
"Mmel1","endogenous","ENSMUSG00000058183"
"Magee2","endogenous","ENSMUSG00000031224"
"DQ267100","endogenous","ENSMUSG00000084549"
"Qk","endogenous","ENSMUSG00000062078"
"Arhgap5","endogenous","ENSMUSG00000035133"
"Rps4y2","endogenous",NA
"Cartpt","endogenous","ENSMUSG00000021647"
"Opn1sw","endogenous","ENSMUSG00000058831"
"Gm7102","endogenous","ENSMUSG00000094649"
"Ppm1n","endogenous","ENSMUSG00000030402"
"Gm8615","endogenous",NA
"Golga4","endogenous","ENSMUSG00000038708"
"Fdx1l","endogenous",NA
"Vps35","endogenous","ENSMUSG00000031696"
"Irak1","endogenous","ENSMUSG00000031392"
"9930111J21Rik1","endogenous","ENSMUSG00000069893"
"Lgi4","endogenous","ENSMUSG00000036560"
"Rspo4","endogenous","ENSMUSG00000032852"
"Tfap2b","endogenous","ENSMUSG00000025927"
"2300009A05Rik","endogenous","ENSMUSG00000032403"
"Nenf","endogenous","ENSMUSG00000037499"
"Rex2","endogenous","ENSMUSG00000067919"
"Eps15l1","endogenous","ENSMUSG00000006276"
"Tnk1","endogenous","ENSMUSG00000001583"
"Gpr82","endogenous","ENSMUSG00000047678"
"Hexa","endogenous","ENSMUSG00000025232"
"Fktn","endogenous","ENSMUSG00000028414"
"Fxyd6","endogenous","ENSMUSG00000066705"
"Kcnf1","endogenous","ENSMUSG00000051726"
"Hsf2bp","endogenous","ENSMUSG00000002076"
"Zfp784","endogenous","ENSMUSG00000043290"
"Kcnq3","endogenous","ENSMUSG00000056258"
"Gnptg","endogenous","ENSMUSG00000035521"
"Scarna2","endogenous",NA
"H2afv","endogenous",NA
"Ms4a2","endogenous","ENSMUSG00000024680"
"Luzp2","endogenous","ENSMUSG00000063297"
"Vegfb","endogenous","ENSMUSG00000024962"
"Btc","endogenous","ENSMUSG00000082361"
"Polr3b","endogenous","ENSMUSG00000034453"
"Fhad1","endogenous","ENSMUSG00000051435"
"Nrp2","endogenous","ENSMUSG00000025969"
"Urb1","endogenous","ENSMUSG00000039929"
"Rbm19","endogenous","ENSMUSG00000029594"
"Rgs13","endogenous","ENSMUSG00000051079"
"Snrnp40","endogenous","ENSMUSG00000074088"
"Gm12228","endogenous",NA
"Atmin","endogenous","ENSMUSG00000047388"
"Psma2","endogenous","ENSMUSG00000015671"
"Kntc1","endogenous","ENSMUSG00000029414"
"Spta1","endogenous","ENSMUSG00000026532"
"Slc6a7","endogenous","ENSMUSG00000052026"
"Gad1","endogenous","ENSMUSG00000070880"
"Gad2","endogenous","ENSMUSG00000026787"
"Slc32a1","endogenous","ENSMUSG00000037771"
"Dner","endogenous","ENSMUSG00000036766"
"Slc2a13","endogenous","ENSMUSG00000036298"
"Slc6a1","endogenous","ENSMUSG00000030310"
"Nrxn3","endogenous","ENSMUSG00000066392"
